Initialize game
Command: MISC_MORE
Command: DIRECTION_NE
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_N
Command: DIRECTION_N
Command: DIRECTION_N
Command: DIRECTION_N
Command: DIRECTION_NW
Command: DIRECTION_NW
Command: DIRECTION_S
Command: DIRECTION_SE
Command: DIRECTION_SE
Command: DIRECTION_NW
Command: DIRECTION_NW
Command: DIRECTION_NW
Command: DIRECTION_S
Command: DIRECTION_N
Command: DIRECTION_NW
Command: DIRECTION_N
Command: DIRECTION_E
Command: DIRECTION_NE
Command: DIRECTION_NE
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_S
Command: DIRECTION_SW
Command: DIRECTION_W
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_NE
Command: DIRECTION_NE
Command: DIRECTION_N
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_W
Command: DIRECTION_SW
Command: DIRECTION_SE
Command: DIRECTION_SW
Command: DIRECTION_S
Command: DIRECTION_S
Command: DIRECTION_S
Command: DIRECTION_S
Command: DIRECTION_S
Command: DIRECTION_S
Command: DIRECTION_S
Command: DIRECTION_S
Command: DIRECTION_S
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_SW
Command: DIRECTION_SE
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_NW
Command: DIRECTION_NE
Command: DIRECTION_N
Command: DIRECTION_N
Command: DIRECTION_N
Command: DIRECTION_NW
Command: DIRECTION_NW
Command: DIRECTION_NW
Command: DIRECTION_NW
Command: DIRECTION_NW
Command: DIRECTION_N
Command: DIRECTION_NE
Command: DIRECTION_N
Command: DIRECTION_NE
Command: DIRECTION_NE
Command: DIRECTION_NE
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_W
Command: DIRECTION_SW
Command: DIRECTION_W
Command: DIRECTION_SW
Command: DIRECTION_SE
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_SE
Command: DIRECTION_NE
Command: DIRECTION_SE
Command: DIRECTION_E
Command: DIRECTION_SE
Command: DIRECTION_NE
Command: DIRECTION_NE
Command: DIRECTION_E
Command: DIRECTION_SE
Command: DIRECTION_SE
Command: DIRECTION_S
Command: DIRECTION_SE
Command: DIRECTION_S
Command: DIRECTION_S
Command: DIRECTION_E
Command: DIRECTION_E
Command: DIRECTION_S
Command: DIRECTION_NW
Command: DIRECTION_NW
Command: DIRECTION_NW
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_E
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_NW
Command: DIRECTION_N
Command: DIRECTION_W
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_W
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_N
Command: DIRECTION_N
Command: DIRECTION_N
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_S
Command: DIRECTION_W
Command: DIRECTION_NW
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_W
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_W
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_W
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_SW
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_SE
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_SW
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_S
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_N
Command: DIRECTION_NE
Command: DIRECTION_E
Command: DIRECTION_SE
Command: COMMAND_SEARCH
Command: DIRECTION_S
Command: COMMAND_KICK
Command: DIRECTION_S
Command: DIRECTION_S
Command: DIRECTION_S
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: COMMAND_SEARCH
Command: DIRECTION_N
Command: DIRECTION_N
Command: DIRECTION_NW
Command: DIRECTION_NW
